Comment;Sentiment
I have been using this app for more than 1 year i analyzed this  and when you are checking the exchange rate for example they ll show you Sar 1 = Pkr 74.71 .when you ll transfer your money then they ll give you change the rate to 74.66 or less.. and transfer fees also higher than other apps believe me this is completely unacceptable and cheating with people's. They should not play like this. I believe SAR 17.25 transfer fees is enough. ... this is already too much .;Negative
worst app i can't sign up from last 3 days it always shows unable to verify your id;Negative
Very easy-to-use and safe;Positive
Very bad slow transactions. Worst service;Negative
Very delayed transfer. International transfer time is 46 hours max. Once u complaint then they will rase ticket by saying it will be resolved in 5 days . So total 7 days you will suffer with different complaints. And you are lucky if your money delivered in 7 days . Other wise complaint again and again wait for 7 days .;Negative
Good mabe;Positive
I cant transfer my money to the system the web page are not working;Neutral
Good;Positive
Very good but can't deposit cash;Positive
Good;Positive
صعب اعادة ضبط الرقم السري..... سئ;Neutral
I ban bank add money service is very bad every time taking (24hr) not instant my experience with stc pay is not good 😔😐;Negative
Nice;Positive
It's app not open and do not work properly;Neutral
Hi Stc pay why we couldn't able to add money into the STC pay wallet more than 2000 per day by using mada card (Al rajhi SABB etc.;Negative
very good app;Positive
I can't open this app .I want reset my password but I can't .;Neutral
Swift International remittances with acceptable Exchage rate too.;Positive
Promo code need from where I get;Neutral
Good stc pay;Positive
Good;Positive
nice very good;Positive
Good and easy;Positive
Good app 👍;Positive
Nine;Neutral
Not working in pixel 6 pro;Neutral
A51 Samsung;Neutral
I like using the app fast in sending money to my beloved family;Positive
Your account status is not valid to perfrom this transaction;Neutral
Excellent service stc pay;Positive
Very good Service;Positive
Good apps quickly send money my family in Philippines..;Positive
Saddad payments must be added.;Neutral
"super app🌺";Positive
U8>4 what you4 dan saya akan 84q XB5 5;Neutral
Thanks STC PAY it's very helpful apps to send money;Positive
Very good application;Positive
👍👍;Neutral
Good application 👍;Positive
Good 👍;Positive
ماشاءاللہ بہت اچھا;Neutral
Best app for daily use;Positive
"Thank you for bieng absolutely good with us ☺️ Allah Hafiz to all 🙏";Positive
Excellent;Positive
Very satisfying;Positive
Good;Positive
I want to be registered in this app;Positive
Trust worthy;Positive
Very good and nice service;Positive
Best app;Positive
I have transferred money from SNB Quick Pay account to my STC Pay account on 15/3/2023 but still now my money is not deposited to my STC pay Account I have called the customer care more then 15 to 20 times asking me to submit the transaction document but due to their App software update issue when I try to select the transaction document app is close automatically to mobile main manu always same answer your ticket is under process more then 1 & half month now i haven't get my money bad servic;Negative
Excellent service;Positive
I'm Comfortable to use this apps;Positive
Very good service!;Positive
Last update is the worst it keeps deleting the app data and requires me to make a fresh login every time i open the app;Negative
Nice 👌;Positive
Really good;Positive
Updating my post. I am now giving 4 stars. For their excellent job in updating this app to satisfy customers... Customer service still needs to be improved...;Positive
Good 👍;Positive
Id verification failed? Why this massage showing Again and Again;Negative
ادخلو مع باي بال 😔;Neutral
Good apps;Positive
Nowsdaybstc pay is very slow app is brilliant before it was quicker nows its service is very slow;Positive
تطبيق سئ وخدمة عملاء أسوأ منها .....للأسف حاجزين اموال الناس عندهم بحجة التأكد من العنوان الوطني وفيه مشكلة في تطبيقهم الضعيف......وأرسلت ايميل قبل شهر على ردكم بالاسفل ولا فيه رد;Neutral
I can't receive the pin code on my mobile please help me;Positive
Good application to transfer internationally with Good rates;Positive
Gd service;Neutral
Very good 👍;Positive
Good pay sender aap stc;Positive
Overall Satisfied;Positive
Very Good apps for Saudi Arabia.;Positive
i can not open my Stc pay apps. after i input my mobile number stc always replied the system having technical issues. Please try again later.;Positive
Good app;Positive
Easy Sending money to philipines;Positive
يطلب الموقع، ويطلب كلمه مرور اثنا التحويل، و بطي، وتصميم قبل افضل، ولا يعطي تنبيهات اشعارات;Neutral
Very good app;Positive
Visitors/Hajis dont have iqama or national ID.. you cant skip the process so can't use the app...;Neutral
Nice application but fee no good;Positive
Nice app;Positive
Very nice sarvice;Positive
Super;Positive
very good;Positive
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 New bugs;Neutral
Ok;Positive
Good 👍;Positive
Why this app isn't work in my phone google pixel 6 pro;Neutral
Nice;Positive
Love stc pay.;Positive
Awesome 👌 👏 👍;Positive
Nice app;Positive
Good;Positive
Can't update new version 😪;Neutral
The service is too long I sent money to the local bank 4 days the receiver has not received it. Money is needed. I think this service is a convenience not good for me.;Negative
Very Very Very nice;Positive
Nice;Positive
App is very useful  thanks STC for the great support;Positive
Very nice 👍;Positive
Nice;Positive
very good work;Positive
Bad experience. I sent money to internasional bank before 85 hour but still under process;Negative
sattisfied;Neutral
Very Good App;Positive
"غغ";Neutral
Great app;Positive
wonderful;Positive
Fast and reliable transfer of money. No need to go money remitance center. Thank you so much STC for the good service. Hoping you will give promo again like before.;Positive
هل اذا دفعت عن طريق اس تي سي باي احصل على نقاط قطاف ؟;Neutral
Its hard to update my stc pay;Negative
Good;Positive
Stc pay is good service;Positive
Local transfer is a very late...solve problems;Negative
Nice;Positive
"برنامجكم مخيس عدلوه حدثوه سويكلم اي شي، مو عارفين تجيبو مبرمجين زي الناس يشغلو البرنامج؟ لا الواحد عارف يسجل دخول ولا شي قرف و تعليق بس";Neutral
انا عمك;Neutral
Very good;Positive
الدعم الفني سيء;Neutral
Masha Allah;Neutral
I love this application. fastest and safe money transaction. thanks STC.;Positive
Good;Positive
Usable friendly apps;Positive
لا يمكنني اختيار المنطقة;Neutral
ارجل تطبيق 🫡🫡🫡;Neutral
Excellent;Positive
very simple & very easy to use..very helpful;Positive
Excellent;Positive
Excellent;Positive
I don't know why it took so long to resolve some issue/concern I have problemmy money from my old stcpay account should transfer to my new stcpay account as I request but unfortunately its been 90 days not resolve my concern;Positive
Good;Positive
Very nice apps🙂;Positive
Receive and send money;Neutral
It's good;Positive
Good;Positive
ജ്യൂസ്;Neutral
Satisfied to use this app;Positive
Nic;Neutral
Hiiii very nice;Positive
Great;Positive
excellent service;Positive
Nice;Positive
Plzz install;Neutral
Good;Positive
Good Working;Positive
Good experience;Positive
Why it always your exchange rate is lower than normal that's my complain you check the exchange rate is like on 96 yours will be on 93 or less;Negative
When I share my transaction details to the beneficiary wich amount I send in Saudi Riyals  it shows in Pakistani Rupees. Please solve this issue.;Positive
Good;Positive
XD;Positive
Good;Positive
Good;Positive
Very good;Positive
Good service good app;Positive
What happened my Stc can not see my exchange rate😢;Neutral
Zakir suriya;Neutral
Excellent;Positive
Good;Positive
Good.mornig;Neutral
Very good apps for transfer in phils.thumbs up.5stars rate for me;Positive
Excellent;Positive
No NFC payment options for Android users.;Negative
Good app indeed I never regret downloading it;Positive
Very good;Positive
This apps wàs amazing i hope to continue to serve as;Positive
Good;Positive
I like sending money big rate and affordable fee...;Positive
STC PAY IS VERY VERY GOOD;Positive
Worst when I opened this app it's say's it already logging use correct password but I use it as first time then when I contact the customer service they didn't give me correct explanation worst and very bad;Negative
Amazing application;Positive
good;Positive
Its best app for international funds transfer with 100% easy refund;Positive
My experience always good;Positive
Best app stc pay;Positive
I been using stc pay since 2017;Negative
Really it's frist time to give any app 5 star and I very happy to use this app if I can give it 10 star I will do;Positive
Excellent;Positive
Super aap;Positive
Not good it may take too long time for international transaction solve it problem;Negative
Very nice and very good app;Positive
Very good appexcellent performance;Positive
Application keeps freezing and crashing!!;Negative
Good transfar;Positive
Very helpful App;Positive
Ok;Positive
to much charge;Neutral
Late international transfer with no reason;Negative
ما يفتح بسهولة;Neutral
Veri good app 5*;Positive
This app is good but some time this app is not accept my 6 digit passcode I call customer service number but customer service member called update the app and login but not respond;Negative
Good apps;Positive
Very good app;Positive
Luvuno tsuma;Neutral
Great;Positive
Good day...we have a problem to my STC pay app..before it's good but now I can update and verify but not work anymore I can't use now for transaction...;Positive
i already use this apps 1year and 4months but this month of march i will not open of may stc paywill you help me what can i do;Positive
I think this is a good for me to send money so I try this app;Positive
Inconsistent performance sums up my experience using this app.;Neutral
Verygood;Neutral
Nice Application!!!;Positive
Worst app Ever used . Did Not Recieve My Money. It's been 3 days since I deposited the money from Stc Pay to MobilePay but I still haven't received the money.;Negative
not easy to setup and verify the account...d ad slow ..nafath verification is another headache..just roasting;Negative
on my firs time i use of my stc pay its good bus after one month i cant transfer money.i didnt receive a code.i tried to uninstall and install again but its same senario i didnt receive a code everytime i open the apps.i have money on stc pay how can i transfer it if i cant open my stc pay account.;Negative
As For I know every person using this app has faced problem of delay in Transfer. Same they dis with me. Money is strucked and I complained but still stories.;Negative
Everyone don't send money with this app out of country my intentionally transfer from 10 days on hold;Neutral
Good app;Positive
I transfer money local but It won't come and then I got deduction of my balance. Hope you can return it.;Positive
Take to long download;Neutral
😡😡😡😡;Neutral
التحويل البنكى الدولي لا يتم الا بالاتصال بخدمه العملاء وعمل شكوى تأخير...فلوسك هتفضل محجوزه عندهم لمده توصل ١٠ ايام....تطبيق فاشل;Neutral
These very good app to sent money for local and international remittance..;Positive
nice;Positive
Worst app ever;Negative
After update app is not working.;Neutral
Impossible to change your number needs improvement;Positive
Nice;Positive
I have attached attached;Neutral
خدمة عملاء ولا أسوء والتطبيق لا يوجد به تعديل للعنوان الوطني مما يمنع استكمال التسجيل;Neutral
Very bad app can't able to open every time when open the app will not open.;Negative
"لعبة العيد في التحديث الجديد قمار محرم صريح اللهم هل بلغت اللهم فاشهد";Neutral
some of bugs need to fix if i didn't use for 1 min shutdown without resume;Neutral
Ok;Positive
I love it;Positive
Good;Positive
Good but international fee is to much;Positive
Very very nice app;Positive
Very hard verification;Negative
Excellent;Positive
Good application;Positive
3 year;Neutral
Good app i use 1 years;Positive
Very good app;Positive
After update it doesn't work anymore. If I open my stc pay (Unfortunately STC pay has stopped.);Negative
Very good;Positive
Best and easy way to transfer money between friends;Positive
Very use full and no hassle you don't to go out if you want to send money back home.Thank you STC PAY your the best👍🏼;Negative
Good;Positive
If you have any emergency to call someone and you recharge from this app don't do it because its not good app first time in my i see this type of app the app take 6 hour for your recharge and 2 time i call on customer service 🫡🫡🫡😡;Negative
Amazing app;Positive
Good;Positive
Best;Positive
This is not good at I send money on wrong number last Saturday immediately I realised that the number is wrong i called them and they told me that they cancelled the transaction but Ihave been calling them to transfer money back to my account so that I can send it again. Nothing they do is to tell me to go the headcounters in Riyadh and am far away from Riyadh please 🙏 Stc services I need my money;Negative
Sorry but that is not me i don't now why tha apps are removed and now im going to install i connot go to log in its goes have problem 404 pls i dont now how to pix this one;Negative
excellent;Positive
B jib  x z x BBB y x and cu cg b x e z CCU CCC on hbu j u t;Neutral
One of the worst app for international transactions because I make transfer on 03 April but today is 13 April The money not delivered to my account when I contacted with the costomer care namely ashwaq he told me we will do it soon then leave the chat worst service ever..........also I make complaint about it they booked ticket for it on 10 April but also from last 3 days the ticket Is in progress mind-blowing service I suggest to those who want to experience this app don't use it they are worst;Negative
Pakege high price;Neutral
Tank you so much;Neutral
My firs number was not on my Iqama so that number i haven't now but when i tried to register my new number but my stc pay not opening and when i called customer service they all are un educated . They don't know how to solve the problem.;Positive
Easy to use;Positive
Nice;Positive
Nice;Positive
Good weerk;Positive
Not a good experience i must sayeven after following the instructions to load ID and selfie and even after speaking with service agent the problem persists.. Its displaying technical issue message even now.. I believe a big company like stc have IT professionals who can deal with such a small issue Thank you;Neutral
I sent India 1000 real from stc pay immediately put on hold talked to custo care no satisfactory answer my problem remains the same my trasaction date 06/04/2023 a go my probem still HELLP ME ALLAH;Positive
I sent India 1000 real from stc pay immediately put on hold talked to custo care no satisfactory answer my problem remains the same my trasaction date 06/04/2023 a go my probem still HELLP ME ALLAH;Positive
Very Good 👍;Positive
This app useless marketplace don't open I try Many time but not open don't use this app👎👎👎👎👎👎👎;Negative
This app works great but there is a problem that poor man can't use it plz bro allow to use vpn or social net because poor man can't access whole net so please Please give the ability to use it on social networks like tiktok and facebook;Positive
Good app;Positive
الاب نفسه ما يفتح عندي جوالي جالكسي نوت 3 بس أعتقد ماله دخل;Neutral
Bad app's;Negative
This is very good app;Positive
This is the best;Positive
very fast transaction but I know to get points;Neutral
Beautyful;Neutral
Very nice;Positive
excellent;Positive
Otp not coming;Neutral
It's very good to send money 💰 any country in this world.. Easy to use and very faster;Positive
Not 🚫 working;Neutral
You can send money anywher like poland?;Positive
good application;Positive
I don't resieve otp;Neutral
This is very bad and poor experience with STC pay. My STC pay is blocked and my salary came in my STC pay then I call to STC pay company they said submit your documents and I did that but they didn't solve my problems they said you didn't submit your documents then again I open ticket but still working from 15days but I am asking why they are taking this much time they said this is other departments and I sent my documents by email but they didn't received they said I will update with my team;Negative
Verification is not working even if we follow the procesure;Neutral
Good;Positive
"عدم احترام ومراعاة ظروف المستخدمين مالكين الروت في هواتفهم ما يسبب تعطل كلي للتطبيق وحرمانهم من الخدمة لأسباب غبية";Neutral
Superb;Positive
Very very user friendly;Positive
Best app;Positive
Very good;Positive
The best;Positive
Good;Positive
💙😍😍😍😍;Neutral
Good;Positive
البطاقه الفيزا لم استلمها;Neutral
MY MONEY GOT STUCK ON THIS APP ASKED ME TO UPDATE AND I DID NOW OPERATOR SAYING I HAVE PROBLEM WITH MY NAME IN JAWAZAT BECAUSE IT IS NIT MATCHING MY NAME IN STC HOW CAN I HAV PROB WITH MY NAME IN JAWAZAT IF I HAVE BEEN HERE FOR 11 YEARS ALSO JAWAZAT SHOULD BE THE CORRECT ONE STC SHOULD BE THE WRONG ONE I EVEN WENT TO STC OFFICE THIEVES STEALING MONEY!;Negative
Good;Positive
good apps;Positive
Nice;Positive
Why discecting vpn now not working g not good;Positive
Super;Positive
Superb quality;Positive
"3 سلام پیش 3 سلام پیش کرتا ہوں e";Neutral
Very good app;Positive
Poor service my money on hold 7 days ago not get any response from your side;Negative
It's easy to use by sending money;Positive
Good service Good experience;Positive
It was good but now i can't register everything ok but always said ID verifcation failed don't know what's worng ?;Negative
good;Positive
Why i can't use with vpn. Please fix like before. Request please;Positive
Very good apps but new phone is coming soon difficult jyada;Negative
I give 5 star but I'm not satisfied on this app because it's taks too much time to log sometimes not work please notice it;Negative
Can't verify my number;Negative
Good 💯😊😊;Positive
Before ths app is surely win but since you put that update verification number it gives us headaches we use the same number as we registered in our Iqama etc. but why keep asking for new number if we used the same legal number from the start now I can't send money to my family the sufficient and bothersome ths app gives is a mess. POOR👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻;Positive
useful and very nice app;Positive
Awesom;Neutral
Too much good;Positive
Incredibly good;Positive
Easy to use in daily life;Positive
Thank you for ur services well appreciated;Positive
Nice;Positive
This app is awesome hassle free;Positive
This app is awesome hassle free;Positive
Great;Positive
nice & fast service.;Positive
No good service;Positive
It's the best service to foreigners worker;Positive
Nice;Positive
Got it;Neutral
Good;Positive
I'm really tired of killing the app and reopening it to transact I had huge expectations from an app from stc.;Negative
Excellent and fast easy to use...;Positive
Thankz for this apps helpfull so much;Neutral
good;Positive
Worst application automatically closed;Negative
Unfortunately I am trying to verify my phone number with stc pay but couldn't up to now 🤔;Negative
Can someone use this app with a line that is not from STC company;Neutral
Thank you its a big help for me.;Positive
Why my stcpay not valid for transaction what's the problem;Negative
Veri nice;Positive
My mobile is not rooted! But when I open the Stc apps it kicks me out of the app and 404 text appears. My phone Ram 8 GB model Vivo Y51;Neutral
Very nice application;Positive
Got it;Neutral
Very useful app;Positive
ID verification issues.;Neutral
I have been with this app for a year now it failed to work yet I have my money on it and the account is now degraded. I need to remove my money but all in vain. Nothing works at all. What do I do I need my money;Negative
good;Positive
Good service;Positive
Nice app;Positive
Good apps;Positive
Bugs can't add money many times;Neutral
Good;Positive
This is not good😨😨😨;Neutral
ok;Positive
Good;Positive
Good;Positive
Very lasy team they have my money stuck and its over 3 monthcalling everyday just passing the remarks that we will do;Negative
Super STC pay;Positive
Got it;Neutral
Fine my phone number and Gmail;Positive
Easy to send money;Positive
I love this app  thank you so much ❤️;Positive
Some is using my number on stc pay app 😡😡😡;Neutral
good application;Positive
3 years i will use stc pay but now i am using mobily pay no service charge no vat charge mobily pay better then stc pay;Negative
This is good but sometimes no good working;Positive
Awesome;Positive
Disgusting;Negative
Very Bad Experience Hold the transfer Payment for many days without any Reason. I'll not recommend to use it.. otherwise they have to improve their services and transfer time within 24 hours.;Negative
Currency exchange rate not accurate...;Neutral
Good;Positive
Cannot open my STC pay;Negative
if i open the stc pay app then come to errors stc pay can't determine your location. Please check your location settings and try again. Thats problem come to every time if i open the app but every time i on the the location please fix it.;Positive
Very poor service me recharge intentional phone card my many cut but recharge credit not found very very poor service don't cheating customer many;Neutral
Everything work well but stores market not open. Please selve it;Negative
Cant acces this app once i enter my mobile number its showing as wrong mob number format🤷‍♂️🤷‍♂️🤷‍♂️;Negative
Better;Positive
Nice;Positive
STC what happen to your daily transfer exceed limit? I can't transfer enough money from my bank before it was good but now? What happen?;Positive
Nice app;Positive
😊;Neutral
Why i cant send money?? Whats the problem stc pay??;Negative
Good 👍👍👍👍👍;Positive
Very good;Positive
Worst development team for the app. Crashes ever single time.;Negative
Good app;Positive
Good app;Positive
It's a awesome app How to change number I lost my number have another number;Positive
It's a awesome app How to change number I lost my number have another number;Positive
I cannot add money anymore it keeps telling me verify your account;Neutral
The security of this wallet is not safe...i called many times in customer servicethey knew that it was a fraud transaction they did not perform any action they did not return my money back...;Negative
Very nice 👌;Positive
stc application is excellent for foreigners transfer money paying online bills;Positive
After update the app have something not working good. If I press the money add before you can put any amount. But now I'm disappointed because now if I add money is not same before any amount you can add. Please fix it thank you.;Positive
Good;Positive
What happened to the STC pay? I cannot recharge several times. The month of February it work so well. This month of March i experienced a problem regarding to recharge beacause i need to send a money.;Negative
Very bad I keep on logging in but otp is delivered way more than the time limit Which is 2 minutes;Negative
Good app;Positive
App slow;Neutral
Otp coming after 5 min ............too slow ........;Neutral
দারুণ;Neutral
Not work my Mobil and number;Positive
Good 👍;Positive
Personally I liked the app before. But from the last few months I can't add money from my payroll card. Stc pay should fix the problem or give some other option to their costumer.;Negative
Good but me cant send becoz im nit verified;Positive
Good experience.scan card in camera not available add money fastest easy way to Add money.;Positive
My expercience is terrable the system are bug and its running on the circle. The agents i was call they have to much alibi. I call many times to customer services but not able to solve the issue and my problem.I cannot log into there apps its(system)useless. I give everything to log in for Verification but its not working even all my details are correct and right. My iqama and my number is under my name through absher. Please fixs your system.I think your system need to update for convience.;Positive
Wow;Positive
Amazing app 💖💖💖;Positive
n Good;Positive
Nc;Neutral
stc pay can't determine your location اكثر من يومين ماني قادر ادخل التطبيق وجربت كل الحلول;Negative
I transferred money from my bank account to STC account and it has been 12 hours since the transfer. I have not been notified yet. I need to transfer money to a very urgent case but the STC application given very very bad experience.;Negative
Good;Positive
It keeps showing that it cannot determine my exact location even though my location is on and i have given access for precise location. Please fix the issue;Positive
There is problem in application not receiving otp to perform any transaction;Negative
I couldn't register because I'm not finding my company name in there;Neutral
Before its really good but when i came back from my vacation and i renew my atm card i can't send money i can not use the apps i cannot add money i went to my bank maybr they can fix it  but they say there is no problem on ny bank ..then i call the stc pay they can't also fix the issue Also saying there is no problm with them. But i keep on trying to add money but i cant get thru .its been two month im trying but still nothing..😥😥;Negative
গুড;Neutral
Guys don't use very 😠😡😠😡😠😡😠😡😠😡😠😡😡😡😡😡😠 bad app Notification Code if you make it shopping from online issues Not come Code I hope all understand;Negative
Update: Now it doesn't even work with my tablet.I can't use it anymore on my phone-for some reason the app doesnt recognize that I have the location option enabled. There is no web application to circumvent ones inability to access the application via a smartphone. I am currently using is via my old tablet. To think that the minds at STC would not consider providing alternative access options is mind boggling. Either remove the location prerequisite or offer a web application as an alternative.;Negative
ياخذ أكثر من ٥ دقائق علشان يرسل كود التاكيد ... المشكلة هذه دائما تتكرر ..;Neutral
Good;Positive
Good;Positive
how come STC Pay is disabled in SNB  please tell.;Positive
Very good app;Positive
Beautiful;Positive
Good;Positive
Good;Positive
Wow awesome;Positive
Guys i uninstall and install again it work. But now again it did not open because did not locate my location common guys;Neutral
Let pickup;Neutral
There is no clear way to track your transactions. I can't even get to know my balance as it doesn't show anywhere in the app. Very poor experience.;Negative
Everytime i log in technical issues alwayswhat happen stc pay?kindly fix it please✌️;Neutral
too much slow resolving complaint i need my money to transfer to my family urgent but they said will resolve in 21 days. 😡 can help me how to report this .;Positive
Han g ye open ni ho rha q software ka masla to ni hy white white show ho raha hy kya prblam hy jnb sir;Neutral
very Satisfied;Positive
very Satisfied;Positive
Very nice;Positive
I wish they can Add it to the smartwatchs so we can pay by them.;Positive
Poorly optimized for. Android keeps crashing everythime I open;Positive
There is serious bug.. every time I need to enter all the login steps;Negative
Good;Positive
Nice apps;Positive
"ممتاز. لكن يوجد عيب واحد التحويل الى. حساب بنكي يتاخر و تستغرق ايام";Neutral
Apps crashing almost everytime. Its very difficult to perform any transaction;Negative
مرات كثيرة تعلق الرسائل;Neutral
very good app;Positive
I need to send noney vert urgent but the STC appbis useless. More than 20 times im trying to log in but it only keeps in on downloading. Instead of enhancing your App for THE better BUT IT'S NOT. Its for THE WORST. In times of emergency this APPbyoy cannot depend on;Negative
Good;Positive
Its a big help and easy to send money to our families.;Positive
Delay to receive varificaton code and always asking for the account varificaton;Negative
سي;Neutral
Very sweet;Positive
very good;Positive
Excellent services..;Positive
change mobile;Neutral
Wow;Positive
Ok;Positive
I have good experience with the stc pay;Positive
Very Bad support system. Worst remittance App ever. Lazy Saudian no proper response when submitting tickets;Negative
Slow Solving issues specially international transfer;Positive
Good helpful;Positive
Very bad;Negative
Worst app.. Always keep the transaction on holds don't use this app your time and money will waist;Negative
"ياراجل ايش من تطبيق!¿!¿!¿¿ ٢٤ ساعة صيانة و ٥ دقايق يكون شغال";Neutral
Good;Positive
Very good this apps;Positive
Good;Positive
It can't 0pen;Neutral
Good app;Positive
International transfer error always;Negative
Love this apps easy to use & fast money transfer😊;Positive
Why Redbull mobile No . Can not registered in stc pay.;Negative
Very good 👍;Positive
Very bad experience. 4 days ago and until now I can't even do transfer money to international or even local. I was blame my self why I used this app. Always said 'we having technical issue please try again later' 4 days always like this 😥;Negative
ممتاز جدا الملکه العربیه;Neutral
Needs tons of fixes. As a quick comment: 1. There is no way to get a statement manually or automated. 2. Opening a ticket isn't a pleasant experience at all to the level you wonder if they intentionally made it that way. 3. There is no way to search for transactions between you and other person. This is really stupid considering this app is primarily intended for peer to peer transactions!;Negative
My friend charged zain amount 20SR card but no charged his account;Negative
Please add print pdf file for transaction details;Positive
nice;Positive
Good apps;Positive
تتكرر المشاكل التقنية في التطبيق، ومع كل التحديثات السابقة تبقى المشكلة باقية;Neutral
App not working for 2 days now!;Neutral
Nc;Neutral
Very very bad customer service;Negative
good app;Positive
Very good 😊;Positive
